,name,script,year
82,"happy birthday, wanda june",http://www.dailyscript.com/scripts/happy_birthday_wanda_june.html,1971
83,hardcore,http://www.dailyscript.com/scripts/hardcore.txt,1979
84,harold and maude,http://home.online.no/~bhundlan/scripts/harold-and-maude.htm,1971
85,hellbound: hellraiser ii,http://www.dailyscript.com/scripts/hellbound+-+hellraiser+ii.txt,1988
86,hellboy,http://www.dailyscript.com/scripts/hellboy.txt,2004
87,hellraiser,http://www.dailyscript.com/scripts/hellraiser.txt,1987
88,high fidelity,http://www.dailyscript.com/scripts/high%20fidelity.txt,2000
89,highlander,http://www.scifiscripts.com/scripts/highlander_final.txt,1986
90,his girl friday,http://www.dailyscript.com/scripts/his%20girl%20friday.txt,1940
91,hope and glory,http://www.dailyscript.com/scripts/hope+and+glory.txt,1987
92,house of 1000 corpses,http://www.dailyscript.com/scripts/house%20of%201000%20corpses.txt,2003
93,human nature,http://www.dailyscript.com/scripts/human+nature.txt,2001
94,the hustler,"http://www.dailyscript.com/scripts/hustler,+the.txt",1961
95,i am legend,http://www.horrorlair.com/scripts/legend.txt,2007
96,invaders from mars,http://leonscripts.tripod.com/scripts/invadersold.htm,1953
97,independence day,http://www.dailyscript.com/scripts/independence+day.txt,1996
98,indiana jones and the last crusade,http://www.dailyscript.com/scripts/indiana%20jones%20and%20the%20last%20crusade.txt,1989
99,indiana jones and the temple of doom,http://www.dailyscript.com/scripts/indiana%20jones%20and%20the%20temple%20of%20doom.txt,1984
100,innerspace,http://www.scifiscripts.com/scripts/innerspace.txt,1987
101,the insider,"http://www.dailyscript.com/scripts/insider,+the.txt",1999
102,intolerable cruelty,http://www.dailyscript.com/scripts/intolerable%20cruelty.txt,2003
103,it happened one night,http://www.dailyscript.com/scripts/it+happened+one+night.txt,1934
104,jfk,http://www.dailyscript.com/scripts/jfk.txt,1991
105,jackie brown,http://www.dailyscript.com/scripts/jackie+brown.txt,1997
106,jacob's ladder,http://www.dailyscript.com/scripts/jacobs+ladder.txt,1990
107,jason x,http://www.dailyscript.com/scripts/jason+x.txt,2001
108,jaws,http://www.dailyscript.com/scripts/jaws.txt,1975
109,juno,http://www.dailyscript.com/scripts/juno.txt,2007
110,kalifornia,http://www.dailyscript.com/scripts/kalifornia.txt,1993
111,kids,http://www.dailyscript.com/scripts/kids.txt,1995
112,knight moves,http://www.scifiscripts.com/msol/knight_m.txt,1992
113,krull,http://www.dailyscript.com/scripts/krull.html,1983
114,lיon,http://www.scifiscripts.com/msol/leon.txt,1994
115,labor of love,http://www.fortunecity.com/tattooine/clarke/38/scripts/laboroflove.txt,1998
116,leaving las vegas,http://www.dailyscript.com/scripts/leaving+las+vegas.txt,1995
117,legally blonde,http://www.dailyscript.com/scripts/legally%20blonde.txt,2001
118,legend,http://www.angelfire.com/movies/ridleyscott/script/legendofdarkness.txt,1985
119,life as a house,http://www.dailyscript.com/scripts/lifeasahouse.html,2001
120,the life of david gale,http://www.dailyscript.com/scripts/life.txt,2003
121,little nicky,http://www.dailyscript.com/scripts/little+nicky.txt,2000
122,logan's run,http://www.dailyscript.com/scripts/logans+run.txt,1976
123,lost highway,http://www.dailyscript.com/scripts/lost+highway.txt,1997
124,lost horizon,http://www.dailyscript.com/scripts/lost_horizon.html,1937
125,men in black,http://www.dailyscript.com/scripts/men+in+black.txt,1997
126,minority report,http://www.dailyscript.com/scripts/minority%20report.txt,2002
127,made,http://www.dailyscript.com/scripts/made.txt,2001
128,malcolm x,http://www.dailyscript.com/scripts/malcolm+x.txt,1992
129,man on fire,http://www.dailyscript.com/scripts/man+on+fire.txt,2004
130,marty,http://www.dailyscript.com/scripts/marty.txt,1955
131,mash,http://www.dailyscript.com/scripts/mash.txt,1970
132,meet john doe,http://www.dailyscript.com/scripts/meet_john_doe.html,1941
133,metro,http://www.dailyscript.com/scripts/metro.txt,1997
134,metropolis,http://www.angelfire.com/movies/ridleyscott/script/metropolis.txt,1927
135,mighty morphin power rangers,http://www.hundland.org/scripts/mightymorphinpowerrangers.txt,1994
136,mobsters,http://www.dailyscript.com/scripts/mobsters.txt,1991
137,monkeybone,http://www.dailyscript.com/scripts/monkeybone_script.htm,2001
138,my mother dreams the satan's disciples in new york,http://www.moviemalls.com/papers/motherdreamsfd.txt,1998
139,mr. smith goes to washington,http://www.dailyscript.com/scripts/mr%20smith%20goes%20to%20washington.txt,1939
140,mr. deeds goes to town,http://www.dailyscript.com/scripts/mr._deeds_goes_to_town.html,1936
141,mumford,http://www.dailyscript.com/scripts/mumford.txt,1999
142,the mummy,"http://www.dailyscript.com/scripts/mummy,+the.txt",1999
143,mystery men,http://www.dailyscript.com/scripts/mystery+men.txt,1999
144,napoleon,http://web.archive.org/web/20010625040837/www.interlink.es/cookies/guion/napoleon.txt,1995
145,next friday,http://www.dailyscript.com/scripts/next_friday.html,2000
146,nick of time,http://www.dailyscript.com/scripts/nick-of-time-script.html,1995
147,the night of the hunter,"http://www.dailyscript.com/scripts/night+of+the+hunter,+the.txt",1955
148,a nightmare on elm street,"http://www.dailyscript.com/scripts/nightmare+on+elm+street,+a.txt",1984
149,ninotchka,http://www.dailyscript.com/scripts/ninotchka.txt,1939
150,nixon,http://home.online.no/~bhundlan/scripts/nixon.txt,1995
151,no country for old men,http://www.dailyscript.com/scripts/no%20country%20for%20old%20men%20(shooting).txt,2007
152,nurse betty,http://www.dailyscript.com/scripts/nurse%20betty.txt,2000
153,"o brother, where art thou?",http://www.dailyscript.com/scripts/o%20brother%20where%20art%20thou.txt,2000
154,an officer and a gentleman,"http://www.dailyscript.com/scripts/officer+and+a+gentleman,+an.txt",1982
155,panic room,http://www.dailyscript.com/scripts/panic_room_koepp.html,2002
156,panther,http://www.dailyscript.com/scripts/panther.txt,1995
157,the patriot,http://www.dailyscript.com/scripts/patriot_1999.html,2000
158,pet sematary,http://www.dailyscript.com/scripts/pet-sematary.html,1989
159,pirates of the caribbean,http://www.wordplayer.com/archives/pirates.cover.html,2003
160,plastic man,http://www.scifiscripts.com/scripts/plasticman.txt,1999
161,platinum blonde,http://www.dailyscript.com/scripts/platinum_blonde.html,1931
162,pleasantville,http://www.hundland.org/scripts/pleasantville.htm,1998
163,punch-drunk love,http://www.dailyscript.com/scripts/punch-drunk_love.html,2002
164,quills,http://www.dailyscript.com/scripts/quills.txt,2000
165,rko 281,http://www.dailyscript.com/scripts/rko218.html,1999
166,raging bull,http://www.dailyscript.com/scripts/raging+bull.txt,1980
167,rear window,http://www.dailyscript.com/scripts/rear+window.txt,1954
168,rebel without a cause,http://www.dailyscript.com/scripts/rebel_without_a_cause.html,1955
169,reindeer games,http://www.dailyscript.com/scripts/reindeer+games.txt,2000
170,reservoir dogs,http://www.dailyscript.com/scripts/reservoir+dogs.txt,1992
171,roughshod,http://www.dailyscript.com/scripts/roughshod.txt,1949
172,scary movie 2,http://www.dailyscript.com/scripts/scary+movie+2.txt,2001
173,serial mom,http://www.dailyscript.com/scripts/serial+mom.txt,1994
174,the seventh victim,http://www.dailyscript.com/scripts/seventhvictim.htm,1943
175,"sex, lies, and videotape",http://www.dailyscript.com/scripts/sex+lies+and+videotape.txt,1989
176,shivers,http://www.dailyscript.com/scripts/shivers.txt,1975
177,shock treatment,http://www.horrorlair.com/scripts/shocktreatmentshootingscript.txt,1981
178,sideways,http://www.dailyscript.com/scripts/sideways.txt,2004
179,signs,http://www.dailyscript.com/scripts/signs.txt,2002
180,silverado,http://www.dailyscript.com/scripts/silverado.txt,1985
181,simone,http://www.dailyscript.com/scripts/simone_andrew_niccol.html,2010
182,the sixth sense,"http://www.dailyscript.com/scripts/sixth%20sense,%20the.txt",1999
183,slash,http://www.dailyscript.com/scripts/slash.txt,2002
184,slither,http://www.dailyscript.com/scripts/slither.html,2006
185,smokey and the bandit,http://www.dailyscript.com/scripts/smokey%20and%20the%20bandit.txt,1977
186,smokin' aces,http://www.dailyscript.com/scripts/smokin'+aces.txt,2006
187,solaris,http://www.dailyscript.com/scripts/solaris.txt,2002
188,someone to watch over me,http://www.angelfire.com/movies/ridleyscott/script/someonetowatchoverme.txt,1987
189,spider-man,http://www.dailyscript.com/scripts/spider-man%20(unproduced).txt,2002
190,stalag 17,http://www.dailyscript.com/scripts/stalag%2017.txt,1953
191,star trek: generations,http://www.scifiscripts.com/scripts/startrekgenerations.txt,1994
192,star trek iii: the search for spock,http://www.scifiscripts.com/scripts/trek/star_trek_iii.htm,1984
193,star trek: the wrath of khan,http://www.scifiscripts.com/scripts/startrek2_wrathofkhan.txt,1982
194,star trek iv: the voyage home,http://www.scifiscripts.com/scripts/trek/star_trek_iv.htm,1986
195,star trek: insurrection,http://www.scifiscripts.com/scripts/trek/star_trek_ix.htm,1998
196,star trek: first contact,http://www.scifiscripts.com/scripts/trek/star_trek_viii.htm,1996
197,star trek vi: the undiscovered country,http://www.scifiscripts.com/scripts/startrek6-theundiscoveredcountry.txt,1991
198,star trek: nemesis,http://www.scifiscripts.com/scripts/trek/star_trek_x.htm,2002
199,starman,http://www.dailyscript.com/scripts/starman.txt,1984
200,strange days,http://www.scifiscripts.com/scripts/strangedays.txt,1995
201,suspect zero,http://www.dailyscript.com/scripts/suspect%20zero%20(unproduced).txt,2004
202,swingers,http://www.dailyscript.com/scripts/swingers.txt,1996
203,the godfather,"http://www.dailyscript.com/scripts/godfather,%20the.txt",1972
204,the talented mr. ripley,"http://www.dailyscript.com/scripts/talented%20mr%20ripley,%20the.txt",1999
205,taxi driver,http://www.dailyscript.com/scripts/taxi%20driver.txt,1976
206,the rock,http://www.awesomefilm.com/script/the-rock.txt,1996
207,the majestic,"http://www.dailyscript.com/scripts/majestic,+the.txt",2001
208,the birds,"http://www.dailyscript.com/scripts/birds,%20the.txt",1963
209,the body snatcher,http://www.dailyscript.com/scripts/thebodysnatcher.htm,1945
210,the crow: salvation,http://www.hundland.org/scripts/thecrowsalvation.htm,2000
211,the day the earth stood still,"http://www.dailyscript.com/scripts/day%20the%20earth%20stood%20still,%20the.txt",2008
212,the lost boys,http://home.online.no/~bhundlan/scripts/thelostboys.htm,1987
213,the thing,"http://www.dailyscript.com/scripts/thing,+the.txt",1982
214,the time machine,http://www.dailyscript.com/scripts/thetimemachine_1959.html,2002
215,the jacket,http://www.dailyscript.com/scripts/the_jacket.html,2005
216,thelma & louise,http://www.dailyscript.com/scripts/thelma%20and%20louise.txt,1991
217,there's something about mary,http://www.dailyscript.com/scripts/there's+something+about+mary.txt,1998
218,thirteen days,http://www.dailyscript.com/scripts/thirteen+days.txt,2000
219,thunderheart,http://www.dailyscript.com/scripts/thunderheart.txt,1992
220,top gun,http://www.dailyscript.com/scripts/topgun.html,1986
221,total recall,http://www.scifiscripts.com/scripts/totalrecall_5th_draft.txt,1990
222,tremors,http://home.online.no/~bhundlan/scripts/tremors.htm,1990
223,true believer,http://www.dailyscript.com/scripts/true%20believer.txt,1989
224,twin peaks: fire walk with me,http://www.dailyscript.com/scripts/twin+peaks+-+fire+walk+with+me.txt,1992
225,the verdict,"http://www.dailyscript.com/scripts/verdict,+the.txt",1982
226,the war of the worlds,http://www.scifiscripts.com/scripts/warworlds.txt,1953
227,new nightmare,http://www.hundland.org/scripts/wescravensnewnightmare.txt,1994
228,white squall,http://www.angelfire.com/movies/ridleyscott/script/whitesquall.txt,1996
229,wild at heart,http://www.dailyscript.com/scripts/wild+at+heart.txt,1990
230,wonder boys,http://www.dailyscript.com/scripts/wonder+boys.txt,2000
231,the woodsman,"http://www.dailyscript.com/scripts/woodsman,+the.txt",2004
232,the abyss,http://www.dailyscript.com/scripts/abyss.html,1989
233,l'avventura,http://www.aellea.com/script/adventure.txt,1960
234,agnes of god,http://www.awesomefilm.com/script/agnesofgod.txt,1985
235,a hard day's night,"http://www.dailyscript.com/scripts/hard+day's+night,+a.txt",1964
236,alien,http://www.horrorlair.com/scripts/alien.html,1979
237,alien vs. predator,http://www.scifiscripts.com/scripts/aliens_vs_predator.txt,1993
238,all about eve,http://www.dailyscript.com/scripts/all%20about%20eve.txt,1950
239,all the president's men,http://www.dailyscript.com/scripts/all%20the%20president's%20men.txt,1976
240,american pie,http://www.dailyscript.com/scripts/american-pie_production.html,1999
241,an american werewolf in paris,http://www.scifiscripts.com/scripts/american_werewolf_paris.txt,1997
242,anastasia,http://www.moviescriptsandscreenplays.com/johncusack/scripts/anastasia.txt,1997
243,annie hall,http://www.dailyscript.com/scripts/annie%20hall.txt,1977
244,the anniversary party,http://www.dailyscript.com/scripts/anniversaryparty.html,2001
245,antz,http://www.dailyscript.com/scripts/antz.html,1998
246,the apartment,http://www.dailyscript.com/scripts/apartment.html,1960
247,apocalypse now,http://www.dailyscript.com/scripts/apocalypsenowredux.html,1979
248,arctic blue,http://www.awesomefilm.com/script/arcticblue.txt,1993
249,as good as it gets,http://www.dailyscript.com/scripts/as+good+as+it+gets.txt,1997
250,assassins,http://www.dailyscript.com/scripts/assassins_shooting.html,1995
251,asylum,http://www.awesomefilm.com/script/asylum.txt,2005
252,a walk to remember,http://www.dailyscript.com/scripts/awalktoremember.html,2002
253,back to the future,http://www.scifiscripts.com/scripts/backtothefuture_early.txt,1985
254,badlands,http://www.dailyscript.com/scripts/badlands.txt,1973
255,the adventures of buckaroo banzai across the 8th dimension,http://www.scifiscripts.com/scripts/banzai_script.txt,1984
256,barton fink,http://www.dailyscript.com/scripts/barton%20fink.txt,1991
257,basic instinct,http://www.dailyscript.com/scripts/basic_instinct.html,1992
258,basquiat,http://www.awesomefilm.com/script/basquiat.txt,1996
259,batman returns,http://www.dailyscript.com/scripts/batman-returns_shooting.html,1992
260,batman and robin,http://www.scifiscripts.com/scripts/batmanandrobin.txt,1949
261,batman forever,http://www.scifiscripts.com/scripts/batmanforever.txt,1995
262,batman,http://www.scifiscripts.com/scripts/batmanscript1.txt,1989
263,bean,http://www.awesomefilm.com/script/bean.html,1997
264,beavis and butt-head do america,http://www.dailyscript.com/scripts/beavis_and_butthead_do_america.html,1996
265,beetle juice,http://www.dailyscript.com/scripts/beetlejuice_skaaren_final.html,1988
266,being there,http://www.dailyscript.com/scripts/being+there.txt,1979
267,being john malkovich,http://www.dailyscript.com/scripts/beingjohnmalkovich.html,1999
268,beloved,http://www.dailyscript.com/scripts/beloved_lagravenese.html,1998
269,the big lebowski,"http://www.dailyscript.com/scripts/big%20lebowski,%20the.txt",1998
270,the black dahlia,http://www.dailyscript.com/scripts/black-dahlia_early.html,2006
271,blade ii,http://www.horrorlair.com/scripts/blade2.html,2002
272,blade,http://www.horrorlair.com/scripts/blade.html,1998
273,book of shadows: blair witch 2,http://www.dailyscript.com/scripts/blair-witch-2.html,2000
274,blood simple.,http://www.dailyscript.com/scripts/blood%20simple.txt,1984
275,bloodmoon,http://www.horrorlair.com/scripts/bloodmoon.html,1997
276,blow,http://www.dailyscript.com/scripts/blow.html,2001
277,la battaglia di algeri,http://www.dailyscript.com/scripts/boa.html,1966
278,body of evidence,http://www.awesomefilm.com/script/bodyofevidence.txt,1993
279,the bridges of madison county,http://www.awesomefilm.com/script/bomc.txt,1995
280,bones,http://www.horrorlair.com/horrorworld/newyork/bones.html,2001
281,bound,http://www.hundland.org/scripts/bound_firstdraft.txt,1996
282,the bourne identity,"http://www.dailyscript.com/scripts/bourne+identity,+the.txt",2002
283,brazil,http://www.scifiscripts.com/scripts/brazil.txt,1985
284,bringing out the dead,http://www.dailyscript.com/scripts/bringing+out+the+dead.txt,1999
285,broadcast news,http://www.dailyscript.com/scripts/broadc_news.html,1987
286,a bucket of blood,http://www.scifiscripts.com/msol/bucket_of_blood.txt,1959
287,buffy the vampire slayer,http://www.dailyscript.com/scripts/buffy_the_vampire_slayer.html,1992
288,bull durham,http://www.dailyscript.com/scripts/bull+durham.txt,1988
289,casino,http://www.dailyscript.com/scripts/casino.txt,1995
290,catwoman,http://www.scifiscripts.com/scripts/catwoman.txt,2004
291,cellular,http://www.dailyscript.com/scripts/cellular_cohen.html,2004
292,the crying game,"http://www.dailyscript.com/scripts/crying%20game,%20the.txt",1992
293,charade,http://www.dailyscript.com/scripts/charade.txt,1963
294,cherry falls,http://www.scifiscripts.com/msol/cherryfalls.txt,2000
295,chill factor,http://www.awesomefilm.com/script/chillfactor.html,1999
296,chinatown,http://www.dailyscript.com/scripts/chinatown.txt,1974
297,nuovo cinema paradiso,http://www.dailyscript.com/scripts/cinema_paradiso.html,1988
298,citizen kane,http://www.aellea.com/script/citizenkane_script.txt,1941
299,clerks.,http://www.dailyscript.com/scripts/clerks.txt,1994
300,cliffhanger,http://www.dailyscript.com/scripts/cliffhanger_stallone.html,1993
301,a clockwork orange,http://www.scifiscripts.com/scripts/clockwork.txt,1971
302,collateral,http://www.dailyscript.com/scripts/collateral_darabont.html,2004
303,conspiracy theory,http://www.dailyscript.com/scripts/conspiracy-theory.html,1997
304,contact,http://www.scifiscripts.com/scripts/contact.txt,1997
305,cool hand luke,http://www.aellea.com/script/cool_hand_luke.html,1967
306,copycat,http://www.dailyscript.com/scripts/copycat.html,1995
307,crash,http://www.dailyscript.com/scripts/crash+(1996).txt,2004
308,crazy love,http://www.dailyscript.com/scripts/crazy_love.html,2007
309,crime spree,http://www.dailyscript.com/scripts/crimespree.html,2003
310,"crouching tiger, hidden dragon",http://www.awesomefilm.com/script/crouchingtiger.txt,2003
311,the crow,http://www.horrorlair.com/scripts/crow.txt,1994
312,cruel intentions,http://www.dailyscript.com/scripts/cruel-intentions.html,1999
313,the curse of the cat people,http://www.dailyscript.com/scripts/cursecat.htm,1944
314,the curse,http://www.horrorlair.com/scripts/cursethe.txt,1987
315,dark city,http://www.dailyscript.com/scripts/dark-city_early-rewrite.html,1998
316,dave,http://www.scifiscripts.com/msol/dave.txt,1993
317,day of the dead,http://www.horrorlair.com/scripts/dayofthedead.txt,1985
318,dead poets society,http://www.dailyscript.com/scripts/dead%20poets%20society.txt,1989
319,deep rising,http://www.horrorlair.com/scripts/deeprising.txt,1998
320,the deer hunter,http://www.dailyscript.com/scripts/deer_hunter.html,1978
321,demolition man,http://www.dailyscript.com/scripts/demolition-man_production.html,1993
322,the devil and daniel webster,http://www.aellea.com/script/devilanddanielwebster.txt,2004
323,die hard,http://www.awesomefilm.com/script/diehard.html,1988
324,dog day afternoon,http://www.awesomefilm.com/script/dog_day_afternoon.txt,1975
325,domino,http://www.dailyscript.com/scripts/domino.html,2005
326,do the right thing,http://www.awesomefilm.com/script/dotherightthing.txt,1989
327,dumb and dumberer: when harry met lloyd,http://web.archive.org/web/20040611014121/www.awesomefilm.com/script/dumbanddumberer.html,2003
328,dune,http://www.scifiscripts.com/scripts/dune.txt,1984
329,ed wood,http://www.dailyscript.com/scripts/ed-wood.html,1994
330,edtv,http://www.dailyscript.com/scripts/edtv.html,1999
331,election,http://www.dailyscript.com/scripts/election.html,1999
332,l.a. confidential,http://www.dailyscript.com/scripts/la%20confidential.txt,1997
333,enemy of the state,http://www.dailyscript.com/scripts/enemyofthestate.html,1998
334,the english patient,http://www.dailyscript.com/scripts/englishpatient.html,1996
335,entrapment,http://www.dailyscript.com/scripts/entrapment_production.html,1999
336,erin brockovich,http://www.dailyscript.com/scripts/erin+brockovich.txt,2000
337,star wars: the empire strikes back,http://www.scifiscripts.com/scripts/esb_final.txt,1982
338,escape from the planet of the apes,http://www.scifiscripts.com/scripts/escape_pota.txt,1971
339,escape from l.a.,http://www.scifiscripts.com/scripts/escapela.txt,1996
340,excalibur,http://www.dailyscript.com/scripts/excalibur.txt,1981
341,the exorcist,http://www.horrorlair.com/scripts/exorcist.html,1973
342,the fabulous baker boys,http://www.dailyscript.com/scripts/fabulous_baker_boys_final.html,1989
343,face/off,http://www.dailyscript.com/scripts/faceoff_production.html,1997
344,the family man,http://www.dailyscript.com/scripts/familyman.html,2000
345,the fantastic four,http://www.dailyscript.com/scripts/fantasticfour.html,1994
346,fantastic voyage,http://www.scifiscripts.com/scripts/fantasticvoyager.txt,1966
347,fargo,http://www.dailyscript.com/scripts/fargo.txt,1996
348,fight club,http://www.scifiscripts.com/scripts/fight_club_shoot.txt,1999
349,final destination 2,http://www.dailyscript.com/scripts/final_destination2.html,2003
350,final destination,http://www.horrorlair.com/scripts/finaldestination.txt,2000
351,rambo: first blood part ii,http://www.dailyscript.com/scripts/rambo_first_blood_2.html,1985
352,the fisher king,http://www.dailyscript.com/scripts/fisher-king_shooting.html,1991
353,five easy pieces,http://www.dailyscript.com/scripts/fiveeasypieces.html,1970
354,five feet high and rising,http://www.dailyscript.com/scripts/fivefeetandrising.html,2000
355,fletch,http://www.dailyscript.com/scripts/fletch.txt,1985
356,the adventures of ford fairlane,http://www.dailyscript.com/scripts/ford-fairlane_early.html,1990
357,the french connection,http://www.dailyscript.com/scripts/frenchconnection.html,1971
358,frequency,http://www.dailyscript.com/scripts/frequency.html,2000
359,friday the 13th part iii,http://www.horrorlair.com/scripts/friday13th3.txt,1982
360,jason lives: friday the 13th part vi,http://www.horrorlair.com/scripts/friday13th6.txt,1986
361,jason goes to hell: the final friday,http://www.horrorlair.com/scripts/friday13thjasongoestohell.txt,1993
362,friday the 13th part viii: jason takes manhattan,http://www.dailyscript.com/scripts/friday_13_8.html,1989
363,game 6,http://www.dailyscript.com/scripts/game_6.html,2005
364,gandhi,http://www.dailyscript.com/scripts/gandhi.txt,1982
